temperature in °C,description,date
26,Partly cloudy,2022-12-26T22:27:45.786Z
26,Partly cloudy,2022-12-26T21:24:28.550Z
26,Partly cloudy,2022-12-26T20:26:58.857Z
26,Partly cloudy,2022-12-26T19:24:19.886Z
26,Partly cloudy,2022-12-26T17:26:24.892Z
26,Partly cloudy,2022-12-26T15:27:55.704Z
27,Partly cloudy,2022-12-26T14:26:30.809Z
27,Partly cloudy,2022-12-26T13:29:57.071Z
27,Partly cloudy,2022-12-26T12:46:14.428Z
29,Partly cloudy,2022-12-26T11:24:16.648Z
29,Partly cloudy,2022-12-26T09:26:30.954Z
29,Partly cloudy,2022-12-26T08:31:47.689Z
29,Partly cloudy,2022-12-26T07:24:42.861Z
29,Partly cloudy,2022-12-26T06:33:05.316Z
29,Partly cloudy,2022-12-26T05:26:56.829Z
26,Partly cloudy,2022-12-26T04:32:40.474Z
26,Partly cloudy,2022-12-26T03:28:55.439Z
26,Partly cloudy,2022-12-26T02:46:30.470Z
26,Partly cloudy,2022-12-26T01:49:56.809Z
26,Partly cloudy,2022-12-25T23:27:30.447Z
26,Partly cloudy,2022-12-25T22:27:31.784Z
26,Partly cloudy,2022-12-25T21:24:14.862Z
26,Partly cloudy,2022-12-25T20:26:35.993Z
26,Partly cloudy,2022-12-25T19:24:19.695Z
26,Partly cloudy,2022-12-25T17:25:55.980Z
26,Partly cloudy,2022-12-25T15:27:04.614Z
26,Light rain shower,2022-12-25T14:25:35.166Z
26,Light rain shower,2022-12-25T13:28:22.510Z
29,Partly cloudy,2022-12-25T12:44:53.877Z
29,Partly cloudy,2022-12-25T11:24:18.335Z
29,Partly cloudy,2022-12-25T10:28:51.369Z
29,Partly cloudy,2022-12-25T09:25:32.219Z
30,Partly cloudy,2022-12-25T08:31:06.227Z
30,Partly cloudy,2022-12-25T07:24:17.782Z
30,Partly cloudy,2022-12-25T06:31:03.586Z
30,Partly cloudy,2022-12-25T05:26:16.488Z
